                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4952,                  5.451,                 2.2358,                  0.015,                0.03448,                0.00872,                0.00213,                 2.6369,                 6.0623,                 2.4958,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                 2.3978,                 4.2185,                 2.0859,                0.92313,                0.08621,                0.10954,                 0.0358,                 2.3283,                 5.2148,                 2.1736,             0.00013205,             0.00013205,             0.00013205
                      3,                 2.0382,                 2.7814,                 1.9838,                0.54269,                0.24196,                0.20901,                0.05458,                 2.3365,                 3.8852,                 2.2713,             0.00019567,             0.00019567,             0.00019567
                      4,                  1.842,                 2.3944,                 1.8018,                0.30739,                0.34828,                0.27628,                 0.0798,                 2.3958,                 3.4627,                 2.2672,             0.00025335,             0.00025335,             0.00025335
                      5,                  1.843,                 2.1268,                 1.8632,                0.38041,                0.36035,                0.29823,                0.09635,                 2.3143,                  2.936,                 2.1737,             0.00030508,             0.00030508,             0.00030508
                      6,                 1.8034,                      2,                 1.7569,                0.38418,                 0.3964,                0.23009,                0.07951,                 2.2792,                 3.1371,                 2.1269,             0.00035088,             0.00035088,             0.00035088
                      7,                  2.044,                 2.2333,                  1.819,                0.56978,                0.31522,                0.31481,                0.10397,                 2.3435,                 2.9411,                 2.0999,             0.00039073,             0.00039073,             0.00039073
                      8,                 1.6808,                 2.0593,                 1.6342,                0.36142,                0.41942,                0.31311,                0.10793,                 2.4203,                 2.8133,                 2.2298,             0.00042465,             0.00042465,             0.00042465
                      9,                 1.8351,                 1.8481,                 1.7215,                 0.3476,                0.29296,                0.24237,                0.07072,                 2.5507,                 2.7143,                 2.5868,             0.00045262,             0.00045262,             0.00045262
                     10,                 1.7006,                 1.6337,                 1.6464,                0.32969,                0.45748,                0.28417,                0.08283,                  2.505,                 2.5727,                 2.5696,             0.00047466,             0.00047466,             0.00047466
                     11,                 1.7896,                 1.6391,                 1.6866,                0.44468,                0.45868,                0.38153,                 0.1391,                 2.3938,                 2.4225,                 2.4415,             0.00049075,             0.00049075,             0.00049075
                     12,                 1.7871,                  1.896,                 1.7055,                0.58155,                0.33823,                0.37659,                0.12966,                 2.3195,                 2.4219,                 2.2298,             0.00050091,             0.00050091,             0.00050091
                     13,                 1.5548,                 1.5777,                  1.601,                0.53195,                  0.358,                0.42132,                 0.1436,                 2.3368,                 2.2016,                 2.2454,             0.00050512,             0.00050512,             0.00050512
                     14,                 1.7604,                 1.5819,                 1.6702,                0.33586,                0.54872,                0.41345,                0.13717,                 2.3338,                 2.2853,                  2.278,              0.0005034,              0.0005034,              0.0005034
                     15,                 1.6528,                 1.4177,                 1.5161,                0.27373,                0.48056,                0.40454,                0.13475,                 2.3077,                 2.2202,                 2.2621,             0.00049573,             0.00049573,             0.00049573
                     16,                 1.7239,                 1.9709,                 1.7325,                0.41628,                0.49036,                0.40999,                0.14367,                 2.2161,                 2.2828,                 2.1836,             0.00048213,             0.00048213,             0.00048213
                     17,                 1.7785,                 1.6344,                 1.8445,                0.43366,                 0.4888,                0.44956,                 0.1665,                 2.2078,                 2.0919,                 2.2172,               0.000458,               0.000458,               0.000458
                     18,                 1.5718,                 1.4984,                 1.6105,                0.60152,                0.53862,                0.55561,                0.20832,                 2.2061,                 1.8874,                 2.2401,               0.000458,               0.000458,               0.000458
                     19,                 1.6729,                  1.376,                 1.7247,                0.59583,                0.52595,                0.51848,                0.19493,                 2.2075,                 1.8831,                 2.1751,              0.0004085,              0.0004085,              0.0004085
                     20,                 1.6292,                 1.3935,                 1.6971,                0.58493,                0.52924,                0.52438,                0.18478,                 2.2404,                 1.8852,                 2.2206,               0.000359,               0.000359,               0.000359
                     21,                  1.724,                 1.2657,                 1.7798,                0.56407,                0.55305,                0.50936,                0.18379,                  2.234,                 1.8443,                 2.1934,              0.0003095,              0.0003095,              0.0003095
                     22,                 1.2466,                 1.4955,                  1.305,                0.67856,                0.56167,                0.60466,                0.22182,                 2.2545,                 1.7445,                 2.1724,                0.00026,                0.00026,                0.00026
                     23,                 1.4055,                 1.1757,                 1.4302,                0.73528,                0.52673,                0.62194,                0.22047,                  2.279,                 1.7097,                 2.1822,              0.0002105,              0.0002105,              0.0002105
                     24,                  1.462,                 1.1211,                 1.4989,                0.58911,                0.63154,                0.61611,                0.21512,                 2.2897,                 1.7335,                 2.1942,               0.000161,               0.000161,               0.000161
                     25,                 1.1821,                 1.8314,                 1.2814,                0.57602,                0.59368,                0.59993,                0.21993,                 2.2868,                 1.7259,                 2.1969,              0.0001115,              0.0001115,              0.0001115
